,2016,2017,2018,2019,2020,2021
,Rank,Rank,Rank,Rank,Rank,Rank
Database,5,2,1,1,1,2
Networking,4,4,4,5,7,5
Testing & QA,11,10,11,11,9,6
Java,23,27,23,28,27,30
PHP,2,3,5,6,8,10
JavaScript,1,1,2,2,3,4
API,14,9,8,4,2,1
SQL,19,17,16,16,25,18
jQuery,7,8,10,10,10,14
WordPress,18,22,21,30,21,29
Research,32,26,17,19,17,13
CSS,6,6,7,8,6,9
HTML,3,5,6,7,5,7
Ajax,13,14,15,20,22,28
C,43,44,45,46,46,46
Laravel,33,30,20,17,13,20
iOS,28,32,32,36,34,32
ASP.NET,12,16,24,21,30,27
Git,36,28,30,23,18,16
Cloud,39,39,39,39,33,35
Agile,35,38,37,33,32,33
OOP,22,20,26,15,16,15
Angular,26,24,22,25,24,22
Debugging,16,13,13,13,15,11
Photoshop,29,29,29,29,37,41
Illustrator,34,37,33,34,39,42
Python,41,41,42,41,42,38
aws,44,45,43,44,41,40
Marketing,27,19,12,12,14,17
Andriod,21,21,19,22,20,19
SEO,37,35,27,26,23,21
MySQL,9,12,14,14,12,12
Oracle,25,34,35,35,40,36
ERP,38,36,38,40,38,39
MVC,15,15,18,18,26,25
UI Design,8,7,3,3,4,3
Linux,31,31,34,37,35,37
BootStrap,17,18,25,24,19,26
React,45,43,40,38,28,24
Spring,40,42,44,42,43,43
Documentation,10,11,9,9,11,8
CCTV,42,40,41,43,44,44
C#,24,25,31,32,36,34
NodeJS,46,46,46,45,45,45
SQL Server,20,23,28,31,31,31
Design Pattern,30,33,36,27,29,23
